<|im_start|>system
You are a retrieval engine. The user will provide a long archive. Answer only the exact passkey requested. Do not explain.
<|im_end|>
<|im_start|>user
Task: find the single secret code in the archive. The code is written on a line beginning with NEEDLE_CODE.
At the end, answer only the exact code value, with no extra words.
ARCHIVE BEGIN
Archive record 00000: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00001: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00002: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00003: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00004: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00005: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00006: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00007: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00008: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00009: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00010: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00011: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00012: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00013: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00014: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00015: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00016: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00017: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00018: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00019: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00020: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00021: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00022: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00023: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00024: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00025: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00026: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00027: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00028: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00029: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00030: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00031: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00032: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
Archive record 00033: neutral calibration prose about clay, light, cables, schedules, and quiet studio observations. This line contains no secret code.
