r4_review_id,source_review_id,dataset,condition,bucket,metric_state,human_label,human_confidence,human_notes,panel_majority,panel_unanimous,panel_labels,metric_closure,metric_em,metric_f1,exact_match_panel,polarity_match_panel,metric_polarity,human_metric_relation,risk_reasons,question,gold_answer,model_answer
r4b-v2-0001,r3k-0096,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,1,,wrong,FALSE,r3k_existing_local_judge:wrong;strict_equivalence:correct;semantic_acceptability:wrong,1,1,1,FALSE,false,closed,true,no_support_condition;no_support_metric_closed;no_support_success_bucket;metric_closed_panel_negative;panel_disagreement;panel_metric_error_metric_false_positive;support_absent,"Who was born later, Raju Rahikwar or Guy Lagorce?",Raju Rahikwar,Raju Rahikwar
r4b-v2-0002,r3k-0162,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,unclear,2,"there are many Kim Ho, unclear wich one is being asked, the answer is right anyway",wrong,FALSE,r3k_existing_local_judge:wrong;strict_equivalence:wrong;semantic_acceptability:correct,1,0,0.8,FALSE,neutral,closed,neutral,no_support_condition;no_support_metric_closed;no_support_success_bucket;metric_closed_panel_negative;panel_disagreement;panel_metric_error_metric_false_positive;support_absent,Was Recep Çetin or Kim Ho born first?,Kim Ho,Kim Ho-kon
r4b-v2-0003,r3k-0002,hotpotqa,bge_rerank_top10,hotpot_metric_open_judge_positive,metric_open,correct,,,correct,FALSE,r3k_existing_local_judge:partial;strict_equivalence:parse_error;semantic_acceptability:correct,0,0,0.6666666666666666,TRUE,true,open,false,metric_open_panel_positive;panel_disagreement;three_way_panel_split;panel_metric_error_metric_false_negative,Which civilization instigated a war with Rome and significantly influenced the Latin language?,the Etruscan civilization,Etruscan
r4b-v2-0004,r3k-0060,hotpotqa,no_support,hotpot_metric_closed_judge_negative,metric_closed,partial,,Answer ir right but there is an UNKNOWN printed that is confusing,partial,FALSE,r3k_existing_local_judge:partial;strict_equivalence:wrong;semantic_acceptability:parse_error,1,0,0.6666666666666666,TRUE,true,closed,true,no_support_condition;no_support_metric_closed;panel_disagreement;three_way_panel_split;support_absent;panel_partial,Of the two genuses Gaillardia and Browningia which one is a genus of cacti?,Browningia,Browningia UNKNOWN
r4b-v2-0005,r3k-0072,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,,,correct,FALSE,r3k_existing_local_judge:wrong;strict_equivalence:correct;semantic_acceptability:parse_error,1,1,1,TRUE,true,closed,true,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;three_way_panel_split;support_absent,"Who was born later, Domingo Quiñones or Anatoly Antonov?",Domingo Quiñones,Domingo Quiñones
r4b-v2-0006,r3k-0057,hotpotqa,no_support,hotpot_metric_closed_judge_negative,metric_closed,partial,,"Might be more direct in the answer, looks like it is missing context window to investigate deeper",correct,FALSE,r3k_existing_local_judge:wrong;strict_equivalence:correct;semantic_acceptability:parse_error,1,0,0.2222222222222222,FALSE,true,closed,true,no_support_condition;no_support_metric_closed;panel_disagreement;three_way_panel_split;support_absent,Who was a higher ranked tennis player: Paola Suárez or Michael Venus?,Paola Suárez,"Michael Venus was not mentioned in the context, but based on the information provided, Paola Suárez had higher rankings reaching up to world number 12"
r4b-v2-0007,r3k-0003,2wiki,bge_rerank_top10,2wiki_all_support_conditions_fail,metric_open,wrong,,Didn't find the answer,correct,FALSE,r3k_existing_local_judge:partial;strict_equivalence:wrong;semantic_acceptability:correct,0,0,0,FALSE,false,open,true,metric_open_panel_positive;panel_disagreement;three_way_panel_split;panel_metric_error_metric_false_negative,Do both films: Black Forest Children and Sometime In August have the directors from the same country?,yes,UNKNOWN
r4b-v2-0008,r3k-0016,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,,,correct,FALSE,r3k_existing_local_judge:partial;strict_equivalence:correct;semantic_acceptability:correct,1,1,1,TRUE,true,closed,true,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Which film was released earlier, Burning Birds or The Romancing Star Iii?",The Romancing Star Iii,The Romancing Star III
r4b-v2-0009,r3k-0018,hotpotqa,bm25_top10,hotpot_metric_open_judge_positive,metric_open,partial,,"the gold answer is better, but it's right anyway",correct,FALSE,r3k_existing_local_judge:partial;strict_equivalence:correct;semantic_acceptability:correct,0,0,0.5,FALSE,true,open,false,metric_open_panel_positive;panel_disagreement;panel_metric_error_metric_false_negative,Andrei Ivanovich Gorchakov commanded the 1st Infanty Corps in what major engagement of the Napoleonic Wars?,Battle of Dresden,Dresden
r4b-v2-0010,r3k-0021,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,,,correct,FALSE,r3k_existing_local_judge:correct;strict_equivalence:correct;semantic_acceptability:parse_error,1,1,1,TRUE,true,closed,true,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Who lived longer, Ryu Mi-Yong or Thomas Johannes Lauritz Parr?",Ryu Mi-Yong,Ryu Mi-Yong
r4b-v2-0011,r3k-0046,hotpotqa,bm25_top10,hotpot_metric_open_judge_positive,metric_open,correct,,,correct,FALSE,r3k_existing_local_judge:correct;strict_equivalence:correct;semantic_acceptability:partial,0,0,0.6666666666666666,TRUE,true,open,false,metric_open_panel_positive;panel_disagreement;panel_metric_error_metric_false_negative,"Who was considered more iconic, Charlie Chaplin or Bruce Bilson?","Charles Spencer ""Charlie"" Chaplin",Charlie Chaplin
r4b-v2-0012,r3k-0063,2wiki,bge_rerank_top10,2wiki_all_support_conditions_fail,metric_open,wrong,,didn't answer the question,correct,FALSE,r3k_existing_local_judge:partial;strict_equivalence:wrong;semantic_acceptability:correct,0,0,0,FALSE,false,open,true,metric_open_panel_positive;panel_disagreement;three_way_panel_split;panel_metric_error_metric_false_negative,Are Frederick Elliott Brown and John Yule both from the same country?,yes,UNKNOWN
r4b-v2-0013,r3k-0067,hotpotqa,oracle_first,hotpot_metric_open_judge_positive,metric_open,correct,,abreviated the answer but it's right,correct,FALSE,r3k_existing_local_judge:partial;strict_equivalence:correct;semantic_acceptability:correct,0,0,0.5,TRUE,true,open,false,metric_open_panel_positive;panel_disagreement;panel_metric_error_metric_false_negative,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,NBA Rookie of the Year Award
r4b-v2-0014,r3k-0155,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,,,correct,FALSE,r3k_existing_local_judge:partial;strict_equivalence:correct;semantic_acceptability:correct,1,1,1,TRUE,true,closed,true,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Who was born first, William Telfer or Chester See?",William Telfer,William Telfer
r4b-v2-0015,r3k-0159,hotpotqa,bge_rerank_top10,hotpot_metric_open_judge_positive,metric_open,partial,,There is UNKNOWN mixed into the answer; so it doesn't transmit confidence,partial,FALSE,r3k_existing_local_judge:partial;strict_equivalence:correct;semantic_acceptability:partial,0,0,0.3529411764705882,TRUE,true,open,false,metric_open_panel_positive;panel_disagreement;panel_metric_error_metric_false_negative;panel_partial,Did the Beaulieu Mine or the McIntyre Mines yield gold and copper?,The McIntyre also yielded a considerable amount of copper,McIntyre Mines yielded gold and copper. UNKNOWN for Beaulieu Mine.
r4b-v2-0016,r3k-0189,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,partial,,"Confusing answer with mixed language, diferent title",wrong,TRUE,r3k_existing_local_judge:wrong;strict_equivalence:wrong;semantic_acceptability:wrong,1,0,0.6,FALSE,false,closed,true,no_support_condition;no_support_metric_closed;no_support_success_bucket;metric_closed_panel_negative;panel_metric_error_metric_false_positive;support_absent,"Which film has the director who died later, Who'S The Man? or Check And Double Check?",Who'S The Man?,"Who's the Woman, Who's the Man?( 金枝玉葉 2)"
r4b-v2-0134,r3k-0090,2wiki,bge_rerank_top10,2wiki_bge_only_success,metric_closed,correct,,,correct,TRUE,r3k_existing_local_judge:correct;strict_equivalence:correct;semantic_acceptability:correct,1,0,0.5,TRUE,true,closed,true,,Where was the director of film Lost Treasure (Film) born?,New York,"Glen Cove, Long Island, New York"
r4b-v2-0135,r3k-0095,2wiki,bge_rerank_top10,2wiki_bge_only_success,metric_closed,correct,,,correct,TRUE,r3k_existing_local_judge:correct;strict_equivalence:correct;semantic_acceptability:correct,1,1,1,TRUE,true,closed,true,,"When did Humphrey De Bohun, 2Nd Earl Of Hereford's father die?",1 June 1220,1 June 1220
