priority_rank,priority_score,r4_review_id,source_review_id,dataset,condition,bucket,metric_state,panel_majority,panel_unanimous,panel_unique_labels,panel_metric_error_majority,metric_closure,metric_em,metric_f1,support_present,support_rank_min,risk_reasons,question,gold_answer,model_answer
1,51,r4b-v2-0017,r3k-0031,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,FALSE,wrong;correct,none,1,0,0.25,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Which film came out earlier, Nattukku Oru Nallavan or Jack The Bear?",Nattukku Oru Nallavan,"Nattukku Oru Nallavan came out earlier than Jack The Bear. However, the context provided does not contain information about the release date of N"
2,51,r4b-v2-0018,r3k-0045,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,FALSE,wrong;correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Which film was released more recently, The King Of The Kickboxers or Kenny & Company?",The King Of The Kickboxers,The King Of The Kickboxers
3,51,r4b-v2-0019,r3k-0053,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,FALSE,wrong;correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,Where was the father of Louise Sophie Of Hanau-Lichtenberg born?,Bouxwiller,Bouxwiller
4,51,r4b-v2-0020,r3k-0077,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,FALSE,wrong;correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Which film has the director born earlier, Safety Not Guaranteed or Once On The Rhine?",Once On The Rhine,Once On The Rhine
5,51,r4b-v2-0021,r3k-0080,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,FALSE,wrong;correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Which film was released earlier, The Red Colored Grey Truck or Woman Basketball Player No. 5?",Woman Basketball Player No. 5,Woman Basketball Player No. 5
6,51,r4b-v2-0022,r3k-0087,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,FALSE,wrong;correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Which album was released first, Gold And Green or Songs Of Leonard Cohen?",Songs Of Leonard Cohen,Songs Of Leonard Cohen
7,51,r4b-v2-0023,r3k-0100,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,FALSE,wrong;correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Which film has the director died later, The Hole (1960 Film) or Nootrukku Nooru?",Nootrukku Nooru,Nootrukku Nooru
8,51,r4b-v2-0024,r3k-0137,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,FALSE,wrong;correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Which film has the director who was born earlier, Broadway Melody Of 1940 or A Slave Of Love?",Broadway Melody Of 1940,Broadway Melody of 1940
9,51,r4b-v2-0025,r3k-0147,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,FALSE,wrong;correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Which film has the director died later, After Tonight or All That Heaven Allows?",All That Heaven Allows,All That Heaven Allows
10,51,r4b-v2-0026,r3k-0153,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,FALSE,wrong;correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Which film has the director who was born earlier, Hills Of Oklahoma or Madame Besøker Oslo?",Madame Besøker Oslo,Madame Besøker Oslo
11,51,r4b-v2-0027,r3k-0182,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,FALSE,wrong;correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;panel_disagreement;support_absent,"Who is older, Alex Barris or Eneill Buitendag?",Alex Barris,Alex Barris
12,38,r4b-v2-0028,r3k-0176,2wiki,bge_rerank_top10,2wiki_bge_only_success,metric_closed,wrong,FALSE,parse_error;wrong,metric_false_positive,1,0,0.8750000000000001,TRUE,1,metric_closed_panel_negative;panel_disagreement;panel_metric_error_metric_false_positive,"Which film was released more recently, The Proud And Profane or It'S A Mad, Mad, Mad, Mad World?","It'S A Mad, Mad, Mad, Mad World","It's A Mad, Mad, Mad, Mad World (2019) UNKNOWN"
13,37,r4b-v2-0032,r3k-0036,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,TRUE,correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;support_absent,"Which film has the director who was born later, The Mysterious Miss X or For Them That Trespass?",For Them That Trespass,For Them That Trespass
14,37,r4b-v2-0033,r3k-0042,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,TRUE,correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;support_absent,"Which film has the director who was born later, The Mate Of The Sally Ann or The Legend Of Hercules?",The Legend Of Hercules,The Legend Of Hercules
15,37,r4b-v2-0034,r3k-0043,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,TRUE,correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;support_absent,"Which film was released more recently, Shanghai Dreams or Canadian Mounties Vs. Atomic Invaders?",Shanghai Dreams,Shanghai Dreams
16,37,r4b-v2-0035,r3k-0050,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,TRUE,correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;support_absent,"Which film was released earlier, Commando Leopard or Invasion Of Astro-Monster?",Invasion Of Astro-Monster,Invasion Of Astro-Monster
17,37,r4b-v2-0037,r3k-0091,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,TRUE,correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;support_absent,Who is Nero Claudius Drusus's father?,Tiberius Claudius Nero,Tiberius Claudius Nero
18,37,r4b-v2-0039,r3k-0094,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,TRUE,correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;support_absent,"Which film was released earlier, Watch Your Stern or Strangers Of The Evening?",Strangers Of The Evening,Strangers Of The Evening
19,37,r4b-v2-0040,r3k-0119,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,TRUE,correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;support_absent,"Which film was released more recently, Last Stop or The Bear And The Doll?",The Bear And The Doll,The Bear And The Doll
20,37,r4b-v2-0041,r3k-0126,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,TRUE,correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;support_absent,"Which album came out earlier, Tha Carter Iii or Rings Around The World?",Rings Around The World,Rings Around The World
21,37,r4b-v2-0043,r3k-0136,2wiki,no_support,2wiki_no_support_success_leakage,metric_closed,correct,TRUE,correct,none,1,1,1,FALSE,,no_support_condition;no_support_metric_closed;no_support_success_bucket;support_absent,"Which film was released earlier, August Underground'S Penance or Vasantha Raagam?",Vasantha Raagam,Vasantha Raagam
