review_id,review_status,human_label,human_confidence,human_notes,review_category,qid,condition,question,gold_answer,prediction,metric_closure,local_judge_label,local_judge_rationale,derived_metric_agreement,bucket_memberships
r3e-0001,unreviewed,,,,metric_closed_judge_negative,5ade74285542992fa25da78c,no_support,Of the two genuses Gaillardia and Browningia which one is a genus of cacti?,Browningia,Browningia UNKNOWN,1,wrong,Prediction is incorrect and includes UNKNOWN.,disagree,no_support_success_leakage
r3e-0002,unreviewed,,,,metric_closed_judge_negative,5ab2123155429970612095b9,bm25_top10,What did Mustafa Kemal Atatürk's residence become once it became Atatürk Museum Mansion?  ,museum,Atatürk Museum Mansion,1,wrong,Prediction is not semantically equivalent to the gold answer.,disagree,bm25_success_bge_fail|oracle_success_bge_fail
r3e-0003,unreviewed,,,,metric_closed_judge_negative,5a83ab355542990548d0b218,no_support,Who was a higher ranked tennis player: Paola Suárez or Michael Venus?,Paola Suárez,"Michael Venus was not mentioned in the context, but based on the information provided, Paola Suárez had higher rankings reaching up to world number 12",1,wrong,"Prediction states Michael Venus was not mentioned, which contradicts the gold answer.",disagree,no_support_success_leakage
r3e-0004,unreviewed,,,,metric_closed_judge_negative,5ab2123155429970612095b9,oracle_first,What did Mustafa Kemal Atatürk's residence become once it became Atatürk Museum Mansion?  ,museum,Atatürk Museum Mansion,1,wrong,Prediction is not semantically equivalent to the gold answer.,disagree,bm25_success_bge_fail|oracle_success_bge_fail
r3e-0005,unreviewed,,,,metric_open_judge_positive,5a7f7b365542992097ad2f80,bge_rerank_top10,Did the Beaulieu Mine or the McIntyre Mines yield gold and copper?,The McIntyre also yielded a considerable amount of copper,McIntyre Mines yielded gold and copper. UNKNOWN for Beaulieu Mine.,0,partial,Prediction is correct for McIntyre Mines but unknown for Beaulieu Mine.,disagree,all_support_conditions_fail
r3e-0006,unreviewed,,,,metric_open_judge_positive,5a835e215542992ef85e2296,bm25_top10,"Between Pine and Butea, which genus has the greatest number of species?","""Pinus""",Pine,0,correct,Prediction matches gold answer 'Pinus'.,disagree,bm25_fail_bge_fail_oracle_success|oracle_success_bge_fail
r3e-0007,unreviewed,,,,metric_open_judge_positive,5abbda84554299642a094b5b,bm25_top10,What is the ratio of flow velocity past a boundary to the local speed of sound for a Saab JAS 39 Gripen?,2,Mach number,0,correct,Mach number is semantically equivalent to the gold answer 2.,disagree,bge_success_oracle_fail
r3e-0008,unreviewed,,,,metric_open_judge_positive,5a8a5c9855429970aeb702be,bge_rerank_top10,Why I Write was penned by which English novelist and critic?,Eric Arthur Blair,George Orwell,0,correct,"Prediction matches the gold answer, though using the full name is preferred.",disagree,all_support_conditions_fail
r3e-0009,unreviewed,,,,metric_open_judge_positive,5adf73a45542992d7e9f9378,oracle_first,Philip Despencer's brother was a favorite of which king who was deposed in January of 1327?,King Edward II,Edward II of England,0,correct,Prediction is semantically equivalent to the gold answer.,disagree,bm25_success_bge_fail
r3e-0010,unreviewed,,,,metric_open_judge_positive,5a8f24cc55429924144829e7,bm25_top10,Andrei Ivanovich Gorchakov commanded the 1st Infanty Corps in what major engagement of the Napoleonic Wars?,Battle of Dresden,Dresden,0,partial,Prediction 'Dresden' is related but incomplete as it does not specify the battle.,disagree,bm25_fail_bge_fail_oracle_success
r3e-0011,unreviewed,,,,metric_open_judge_positive,5ae5305b5542990ba0bbb1f5,oracle_first,"When would be the professional wrestling video game release in which Mark Henry will appear as ""legend""?","October 17, 2017",WWE 2K18,0,partial,"WWE 2K18 is the correct game, but the prediction lacks the release date.",disagree,bge_success_oracle_fail
r3e-0012,unreviewed,,,,metric_open_judge_positive,5a835e215542992ef85e2296,bge_rerank_top10,"Between Pine and Butea, which genus has the greatest number of species?","""Pinus""",Pine,0,correct,Prediction matches the gold answer semantically.,disagree,bm25_fail_bge_fail_oracle_success|oracle_success_bge_fail
r3e-0013,unreviewed,,,,metric_open_judge_positive,5a8f24cc55429924144829e7,bge_rerank_top10,Andrei Ivanovich Gorchakov commanded the 1st Infanty Corps in what major engagement of the Napoleonic Wars?,Battle of Dresden,Dresden,0,partial,Prediction is related but incomplete; 'Dresden' is part of the answer but lacks the date and context.,disagree,bm25_fail_bge_fail_oracle_success
